model_name,dataset_name,vector_name,hyperparameter_name,hyperparameter_value,metric_name,metric_value
svc,train,count,c,2,false_negatives,0.0
svc,train,count,c,2,accuracy,0.9998460828074496
svc,train,count,c,2,macro_recall,0.9998688352570828
svc,train,count,c,2,macro_precision,0.9998138495904692
svc,train,count,c,2,macro_f1,0.9998413164913392
svc,train,count,c,2,micro_recall,0.9998460828074496
svc,train,count,c,2,micro_precision,0.9998460828074496
svc,train,count,c,2,micro_f1,0.9998460828074496
svc,train,count,c,2,binary_recall,1.0
svc,train,count,c,2,binary_precision,0.9996276991809382
svc,train,count,c,2,binary_f1,0.9998138149320424
decisiontree,train,count,maxdepth,None,true_positives,2685.0
decisiontree,train,count,maxdepth,None,false_positives,0.0
decisiontree,train,count,maxdepth,None,true_negatives,3812.0
decisiontree,train,count,maxdepth,None,false_negatives,0.0
decisiontree,train,count,maxdepth,None,accuracy,1.0
decisiontree,train,count,maxdepth,None,macro_recall,1.0
decisiontree,train,count,maxdepth,None,macro_precision,1.0
decisiontree,train,count,maxdepth,None,macro_f1,1.0
decisiontree,train,count,maxdepth,None,micro_recall,1.0
decisiontree,train,count,maxdepth,None,micro_precision,1.0
decisiontree,train,count,maxdepth,None,micro_f1,1.0
decisiontree,train,count,maxdepth,None,binary_recall,1.0
decisiontree,train,count,maxdepth,None,binary_precision,1.0
decisiontree,train,count,maxdepth,None,binary_f1,1.0
svc,dev,tfidf,c,0.25,true_positives,496.0
svc,dev,tfidf,c,0.25,false_positives,60.0
svc,dev,tfidf,c,0.25,true_negatives,757.0
svc,dev,tfidf,c,0.25,false_negatives,80.0
svc,dev,tfidf,c,0.25,accuracy,0.8994974874371859
svc,dev,tfidf,c,0.25,macro_recall,0.8938358493132055
svc,dev,tfidf,c,0.25,macro_precision,0.8982534402585458
svc,dev,tfidf,c,0.25,macro_f1,0.8958408996714251
svc,dev,tfidf,c,0.25,micro_recall,0.8994974874371859
svc,dev,tfidf,c,0.25,micro_precision,0.8994974874371859
svc,dev,tfidf,c,0.25,micro_f1,0.8994974874371859
svc,dev,tfidf,c,0.25,binary_recall,0.8611111111111112
svc,dev,tfidf,c,0.25,binary_precision,0.8920863309352518
svc,dev,tfidf,c,0.25,binary_f1,0.8763250883392226
svc,dev,tfidf,c,5,true_positives,499.0
svc,dev,tfidf,c,5,false_positives,68.0
svc,dev,tfidf,c,5,true_negatives,749.0
svc,dev,tfidf,c,5,false_negatives,77.0
svc,dev,tfidf,c,5,accuracy,0.8959081119885139
svc,dev,tfidf,c,5,macro_recall,0.8915440551475589
svc,dev,tfidf,c,5,macro_precision,0.8934251038770813
svc,dev,tfidf,c,5,macro_f1,0.8924438310092553
svc,dev,tfidf,c,5,micro_recall,0.8959081119885139
svc,dev,tfidf,c,5,micro_precision,0.8959081119885139
svc,dev,tfidf,c,5,micro_f1,0.8959081119885139
svc,dev,tfidf,c,5,binary_recall,0.8663194444444444
svc,dev,tfidf,c,5,binary_precision,0.8800705467372134
svc,dev,tfidf,c,5,binary_f1,0.8731408573928259
svc,train,tfidf,c,2,true_positives,2684.0
svc,train,tfidf,c,2,false_positives,9.0
svc,train,tfidf,c,2,true_negatives,3803.0
svc,train,tfidf,c,2,false_negatives,1.0
svc,train,tfidf,c,2,accuracy,0.998460828074496
svc,train,tfidf,c,2,macro_recall,0.9986332975744536
svc,train,tfidf,c,2,macro_precision,0.9981975605251454
svc,train,tfidf,c,2,macro_f1,0.9984137737467615
svc,train,tfidf,c,2,micro_recall,0.998460828074496
svc,train,tfidf,c,2,micro_precision,0.998460828074496
svc,train,tfidf,c,2,micro_f1,0.998460828074496
svc,train,tfidf,c,2,binary_recall,0.9996275605214152
svc,train,tfidf,c,2,binary_precision,0.9966580022279984
svc,train,tfidf,c,2,binary_f1,0.9981405727036072
mlp,dev,tfidf,alpha,1,true_positives,466.0
mlp,dev,tfidf,alpha,1,false_positives,60.0
mlp,dev,tfidf,alpha,1,true_negatives,757.0
mlp,dev,tfidf,alpha,1,false_negatives,110.0
mlp,dev,tfidf,alpha,1,accuracy,0.8779612347451543
mlp,dev,tfidf,alpha,1,macro_recall,0.8677941826465388
mlp,dev,tfidf,alpha,1,macro_precision,0.8795286399059736
mlp,dev,tfidf,alpha,1,macro_f1,0.8723924542291925
mlp,dev,tfidf,alpha,1,micro_recall,0.8779612347451543
mlp,dev,tfidf,alpha,1,micro_precision,0.8779612347451543
mlp,dev,tfidf,alpha,1,micro_f1,0.8779612347451543
mlp,dev,tfidf,alpha,1,binary_recall,0.8090277777777778
mlp,dev,tfidf,alpha,1,binary_precision,0.8859315589353612
mlp,dev,tfidf,alpha,1,binary_f1,0.8457350272232305
svc,dev,tfidf,c,1,true_positives,505.0
svc,dev,tfidf,c,1,false_positives,62.0
svc,dev,tfidf,c,1,true_negatives,755.0
svc,dev,tfidf,c,1,false_negatives,71.0
svc,dev,tfidf,c,1,accuracy,0.9045226130653268
svc,dev,tfidf,c,1,macro_recall,0.9004243591051272
svc,dev,tfidf,c,1,macro_precision,0.9023480704271664
svc,dev,tfidf,c,1,macro_f1,0.9013450312015928
svc,dev,tfidf,c,1,micro_recall,0.9045226130653268
svc,dev,tfidf,c,1,micro_precision,0.9045226130653268
svc,dev,tfidf,c,1,micro_f1,0.9045226130653268
svc,dev,tfidf,c,1,binary_recall,0.8767361111111112
svc,dev,tfidf,c,1,binary_precision,0.890652557319224
svc,dev,tfidf,c,1,binary_f1,0.883639545056868
svc,dev,count,c,5,true_positives,482.0
svc,dev,count,c,5,false_positives,52.0
svc,dev,count,c,5,true_negatives,765.0
svc,dev,count,c,5,false_negatives,94.0
svc,dev,count,c,5,accuracy,0.8951902368987796
svc,dev,count,c,5,macro_recall,0.886579032367741
svc,dev,count,c,5,macro_precision,0.8965960767899264
svc,dev,count,c,5,macro_f1,0.8906781483153798
svc,dev,count,c,5,micro_recall,0.8951902368987796
svc,dev,count,c,5,micro_precision,0.8951902368987796
svc,dev,count,c,5,micro_f1,0.8951902368987796
svc,dev,count,c,5,binary_recall,0.8368055555555556
svc,dev,count,c,5,binary_precision,0.902621722846442
svc,dev,count,c,5,binary_f1,0.8684684684684685
mlp,dev,tfidf,alpha,10,true_positives,0.0
mlp,dev,tfidf,alpha,10,false_positives,0.0
mlp,dev,tfidf,alpha,10,true_negatives,817.0
mlp,dev,tfidf,alpha,10,false_negatives,576.0
mlp,dev,tfidf,alpha,10,accuracy,0.5865039483129936
mlp,dev,tfidf,alpha,10,macro_recall,0.5
mlp,dev,tfidf,alpha,10,macro_precision,0.2932519741564968
mlp,dev,tfidf,alpha,10,macro_f1,0.369683257918552
mlp,dev,tfidf,alpha,10,micro_recall,0.5865039483129936
mlp,dev,tfidf,alpha,10,micro_precision,0.5865039483129936
mlp,dev,tfidf,alpha,10,micro_f1,0.5865039483129936
mlp,dev,tfidf,alpha,10,binary_recall,0.0
mlp,dev,tfidf,alpha,10,binary_precision,0.0
mlp,dev,tfidf,alpha,10,binary_f1,0.0
svc,dev,count,c,0.25,true_positives,487.0
svc,dev,count,c,0.25,false_positives,47.0
svc,dev,count,c,0.25,true_negatives,770.0
svc,dev,count,c,0.25,false_negatives,89.0
svc,dev,count,c,0.25,accuracy,0.9023689877961236
svc,dev,count,c,0.25,macro_recall,0.8939792856657147
svc,dev,count,c,0.25,macro_precision,0.9041880856147512
svc,dev,count,c,0.25,macro_f1,0.8981659463759701
svc,dev,count,c,0.25,micro_recall,0.9023689877961236
svc,dev,count,c,0.25,micro_precision,0.9023689877961236
svc,dev,count,c,0.25,micro_f1,0.9023689877961236
svc,dev,count,c,0.25,binary_recall,0.8454861111111112
svc,dev,count,c,0.25,binary_precision,0.9119850187265918
svc,dev,count,c,0.25,binary_f1,0.8774774774774774
svc,dev,tfidf,c,10,true_positives,499.0
svc,dev,tfidf,c,10,false_positives,68.0
svc,dev,tfidf,c,10,true_negatives,749.0
svc,dev,tfidf,c,10,false_negatives,77.0
svc,dev,tfidf,c,10,accuracy,0.8959081119885139
svc,dev,tfidf,c,10,macro_recall,0.8915440551475589
svc,dev,tfidf,c,10,macro_precision,0.8934251038770813
svc,dev,tfidf,c,10,macro_f1,0.8924438310092553
svc,dev,tfidf,c,10,micro_recall,0.8959081119885139
svc,dev,tfidf,c,10,micro_precision,0.8959081119885139
svc,dev,tfidf,c,10,micro_f1,0.8959081119885139
svc,dev,tfidf,c,10,binary_recall,0.8663194444444444
svc,dev,tfidf,c,10,binary_precision,0.8800705467372134
svc,dev,tfidf,c,10,binary_f1,0.8731408573928259
decisiontree,train,tfidf,maxdepth,None,true_positives,2685.0
decisiontree,train,tfidf,maxdepth,None,false_positives,0.0
decisiontree,train,tfidf,maxdepth,None,true_negatives,3812.0
decisiontree,train,tfidf,maxdepth,None,false_negatives,0.0
decisiontree,train,tfidf,maxdepth,None,accuracy,1.0
decisiontree,train,tfidf,maxdepth,None,macro_recall,1.0
decisiontree,train,tfidf,maxdepth,None,macro_precision,1.0
decisiontree,train,tfidf,maxdepth,None,macro_f1,1.0
decisiontree,train,tfidf,maxdepth,None,micro_recall,1.0
decisiontree,train,tfidf,maxdepth,None,micro_precision,1.0
decisiontree,train,tfidf,maxdepth,None,micro_f1,1.0
decisiontree,train,tfidf,maxdepth,None,binary_recall,1.0
decisiontree,train,tfidf,maxdepth,None,binary_precision,1.0
decisiontree,train,tfidf,maxdepth,None,binary_f1,1.0
mlp,train,count,alpha,10,true_positives,1874.0
mlp,train,count,alpha,10,false_positives,280.0
mlp,train,count,alpha,10,true_negatives,3532.0
mlp,train,count,alpha,10,false_negatives,811.0
mlp,train,count,alpha,10,accuracy,0.832076342927505
mlp,train,count,alpha,10,macro_recall,0.8122496634171029
mlp,train,count,alpha,10,macro_precision,0.8416360033360335
mlp,train,count,alpha,10,macro_f1,0.8203786195064143
mlp,train,count,alpha,10,micro_recall,0.832076342927505
mlp,train,count,alpha,10,micro_precision,0.832076342927505
mlp,train,count,alpha,10,micro_f1,0.8320763429275049
mlp,train,count,alpha,10,binary_recall,0.697951582867784
mlp,train,count,alpha,10,binary_precision,0.8700092850510678
mlp,train,count,alpha,10,binary_f1,0.7745401942550114
svc,train,count,c,10,true_positives,2685.0
svc,train,count,c,10,false_positives,0.0
svc,train,count,c,10,true_negatives,3812.0
svc,train,count,c,10,false_negatives,0.0
svc,train,count,c,10,accuracy,1.0
svc,train,count,c,10,macro_recall,1.0
svc,train,count,c,10,macro_precision,1.0
svc,train,count,c,10,macro_f1,1.0
svc,train,count,c,10,micro_recall,1.0
svc,train,count,c,10,micro_precision,1.0
svc,train,count,c,10,micro_f1,1.0
svc,train,count,c,10,binary_recall,1.0
